Ticket ID,Creation Timestamp,Channel,Category,Priority,Subject,Description
TID-4D74C101,2024-01-01 09:00:00,Web,Technical Issue,High,Application crashing on startup,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a PDF file. This started happening today."
TID-C0D09C4E,2024-01-01 10:13:00,Phone,Billing & Payment,Medium,Question about my latest invoice,I am looking at invoice INV-2025-4900 and I don't understand the charge for 'API Usage Fee'. Can you clarify?
TID-C0A032AE,2024-01-01 10:10:00,Web,Technical Issue,Low,Unable to upload files - Permission Denied,Our integration is failing because all calls to the /api/v2/data endpoint are returning a 503 Service Unavailable error.
TID-0BA7DAD6,2024-01-01 12:36:00,Phone,Technical Issue,Medium,Unable to upload files - Permission Denied,Our integration is failing because all calls to the /api/v2/reports endpoint are returning a 503 Service Unavailable error.
TID-C9EE79FC,2024-01-01 13:20:00,Email,Technical Issue,Medium,Mobile app drains battery,The data on my main dashboard appears to be stale. It's stuck on data from this morning at 10:30 AM. Clearing cache did not help.
TID-682135CD,2024-01-01 11:40:00,Phone,General Feedback,Low,Suggestion for a new feature,"As a new user, I found the settings menu difficult to navigate. The icons weren't very intuitive."
TID-AC0706B6,2024-01-01 15:48:00,Web,Technical Issue,Medium,Mobile app drains battery,The search feature is not finding documents that I know exist. It seems to be an issue with recently indexed content.
TID-BD988114,2024-01-01 15:39:00,Web,Technical Issue,Medium,File export failing for large datasets,The data on my main dashboard appears to be stale. It's stuck on data from this morning at 08:00 AM. Clearing cache did not help.
TID-903F76F7,2024-01-01 21:40:00,Email,Technical Issue,Low,Dashboard widgets not refreshing,The search feature is not finding documents that I know exist. It seems to be an issue with recently indexed content.
TID-EC5F4FBA,2024-01-01 16:39:00,Email,Billing & Payment,High,Incorrect amount on invoice,I am looking at invoice INV-2025-4900 and I don't understand the charge for 'User License Overage'. Can you clarify?
TID-6A31FDBE,2024-01-01 23:10:00,Web,Technical Issue,Medium,File export failing for large datasets,"When I try to access the analytics page page, it takes over a minute to load. Other sites are fine."
TID-8BB07E45,2024-01-02 05:32:00,Web,Technical Issue,Medium,File export failing for large datasets,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-0FC22F97,2024-01-02 01:24:00,Phone,Account Management,Medium,Process for transferring account ownership,I've tried the 'Forgot Password' link several times for username 'test@example.org' but I'm not receiving the email. I checked my spam folder.
TID-E0FA0D50,2024-01-02 00:36:00,Phone,Product Inquiry,Low,Is there a mobile app?,I am often on the go and would love to access my data from a mobile app. Is one available for iOS or Android?
TID-9878773A,2024-01-02 10:12:00,Email,Billing & Payment,Medium,Payment failed but my card was charged,"Invoice INV-2025-4900 shows a total of $318.00, but it should be $155.00. It seems I was double-charged."
TID-9498BAF5,2024-01-02 11:00:00,Email,Technical Issue,High,Error message when saving a new project,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-69A0E616,2024-01-01 16:28:00,Email,Product Inquiry,Low,How to export data to PDF?,"For compliance reasons, I need to know your data retention policy. How long is data stored after it's deleted from the UI?"
TID-837E7857,2024-01-02 13:37:00,Phone,General Feedback,Low,Suggestion for a new feature,I think it would be great if you could add a dark mode to the UI. It would be much easier on the eyes.
TID-F9CEF8AA,2024-01-01 11:24:00,Web,Billing & Payment,Medium,Request for past invoices,"My attempt to renew my subscription failed, but my bank statement shows a charge from your company. Please investigate."
TID-91BE8D2B,2024-01-01 16:17:00,Email,Billing & Payment,Low,How to upgrade my subscription?,Could you please provide PDF copies of all invoices for my account (50933) for the last fiscal year?
TID-33C18FB2,2024-01-01 11:20:00,Email,Product Inquiry,Low,Data retention policy clarification,I would like to add my company logo to the reports I generate. Can I create custom templates?
TID-F02450C4,2024-01-01 13:33:00,Email,Product Inquiry,Low,Data retention policy clarification,I want to sync project deadlines from your platform to my Google Calendar. Do you have an integration for that?
TID-D4C506CB,2024-01-02 03:20:00,Phone,Account Management,Low,How do I delete my account?,I need to update the primary email on my account from 'old.user@example.com' to 'new.user@example.com'. What's the process?
TID-60CCB6C0,2024-01-01 17:03:00,API,Account Management,Low,How do I delete my account?,I need to update the primary email on my account from 'former.employee@example.org' to 'new.user@example.com'. What's the process?
TID-4CB8F547,2024-01-01 23:00:00,Web,Technical Issue,High,Mobile app drains battery,"I'm trying to export a report with 10000 rows to CSV, but it times out with the error 'ERR_FAILED'."
TID-7D3498A5,2024-01-02 02:55:00,Web,Technical Issue,Medium,Error message when saving a new project,Our integration is failing because all calls to the /api/v2/users endpoint are returning a 503 Service Unavailable error.
TID-D510B7A7,2024-01-02 09:16:00,Email,Billing & Payment,Medium,Question about my latest invoice,I am looking at invoice INV-2025-4900 and I don't understand the charge for 'API Usage Fee'. Can you clarify?
TID-2642305E,2024-01-02 05:42:00,Phone,Account Management,Medium,Unable to reset password,"I sent an invite to a new team member, but the link expired. Can you please resend it to 'new.user@example.com'?"
TID-0E6CB451,2024-01-03 00:40:00,Web,Technical Issue,High,Unable to upload files - Permission Denied,"I'm trying to export a report with 50000 rows to CSV, but it times out with the error 'ERR_FAILED'."
TID-DA85C45F,2024-01-02 18:50:00,Email,Technical Issue,Low,API returning 503 errors,"Since the last update, the mobile app is using a significant amount of battery, even in the background. My device is a Samsung Galaxy S24."
TID-6D5899DC,2024-01-03 18:00:00,Phone,Account Management,Medium,Process for transferring account ownership,I need to update the primary email on my account from 'former.employee@example.org' to 'new.user@example.com'. What's the process?
TID-56F444D1,2024-01-02 07:44:00,Web,Technical Issue,Medium,API returning 503 errors,Our integration is failing because all calls to the /api/v2/reports endpoint are returning a 503 Service Unavailable error.
TID-693BCCF1,2024-01-03 22:20:00,Phone,Technical Issue,Medium,API returning 503 errors,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-7E6CA4A1,2024-01-03 10:30:00,Web,Account Management,Medium,Need to change the primary email,I need to update the primary email on my account from 'former.employee@example.org' to 'new.user@example.com'. What's the process?
TID-CE1F0978,2024-01-01 20:54:00,Email,Technical Issue,High,Mobile app drains battery,"I'm trying to export a report with 10000 rows to CSV, but it times out with the error '500_INTERNAL_SERVER_ERROR'."
TID-3D16571C,2024-01-01 13:40:00,Email,Product Inquiry,Low,Data retention policy clarification,I need to export a report to PDF for a presentation. I can only see CSV and Excel options. Is this possible?
TID-A0DAF355,2024-01-03 04:48:00,Email,Account Management,Medium,Need to change the primary email,I've tried the 'Forgot Password' link several times for username 'demo_user@example.net' but I'm not receiving the email. I checked my spam folder.
TID-F37FCAC3,2024-01-02 01:02:00,Email,Product Inquiry,Low,Is it possible to customize report templates?,I am often on the go and would love to access my data from a mobile app. Is one available for iOS or Android?
